years_bp,gisp2_temp_c,epica_co2_ppm,solar_delta_14c,geomagnetic_vadm,global_sea_level_anomaly_m
3710,-30.4124,272.77433628318585,17.9,7.642,2.358017841026919
3720,-30.317233333333334,272.64159292035396,17.4,7.652,2.342319830907278
3730,-30.2404,272.5088495575221,14.7,7.706,2.326587991874377
3740,-30.231963636363638,272.37610619469024,15.7,7.686,2.310819849651047
3750,-30.2956,272.2433628318584,19.1,7.618,2.2950129299601194
3760,-30.389815384615385,272.1106194690266,21.2,7.576,2.2791647585244266
3770,-30.49196923076923,271.9778761061947,20.7,7.586,2.2632728610667994
3780,-30.541999999999998,271.84513274336285,18.9,7.622,2.2473347633100693
3790,-30.662399999999998,271.71238938053096,22.0,7.56,2.2313479909770684
3800,-30.775733333333335,271.57964601769913,27.8,7.444,2.215310069790628
3810,-30.804266666666667,271.812,30.2,7.396,2.199218525473579
3820,-30.881600000000002,272.592,28.7,7.426,2.1830708837487536
3830,-30.986933333333333,273.372,25.3,7.494,2.166864670338983
3840,-31.05803636363636,274.152,22.6,7.548,2.1505974109670984
3850,-31.058833333333332,274.93199999999996,21.7,7.566,2.1342666313559318
3860,-31.043,275.3821428571428,22.9,7.542,2.1178698572283152
3870,-31.050615384615384,275.3375,24.1,7.518,2.1014046143070786
3880,-31.09,275.29285714285714,24.1,7.518,2.0848684283150547
3890,-31.158649999999998,275.24821428571425,24.1,7.518,2.0682588249750746
3900,-31.1719,275.2035714285714,23.1,7.538,2.05157333000997
3910,-31.1762,275.15892857142853,23.0,7.54,2.034809469142572
3920,-31.189353846153846,275.1142857142857,24.3,7.514,2.017964768095713
3930,-31.222,275.0696428571428,22.8,7.544,2.0010367525922232
3940,-31.229999999999997,275.025,22.6,7.548,1.9840229483549354
3950,-31.1801,274.98035714285714,27.6,7.448,1.9669208811066796
3960,-31.122707692307692,274.93571428571425,28.9,7.422,1.9497280765702891
3970,-31.0788,274.8542857142857,27.7,7.446,1.932442060468594
3980,-31.06229090909091,274.62571428571425,26.0,7.48,1.9150603585244264
3990,-31.067999999999998,274.39714285714285,23.2,7.536,1.897580496460618
4000,-31.04,274.1685714285714,22.9,7.542,1.88
